상품명,키워드
비타티놀세럼+선크림 듀오,"수분, 탄력, 지성, 각질, 기미"
시그니아 워터 에멀젼 기프트 세트 2종,"수분, 주름, 건성, 탄력, 트러블"
리젠 데칸알 인듀싱 크림 65ml,"주름, 건성, 탄력, 수분, 보습, 쫀쫀, 트러블, 지성, 여드름, 산뜻, 잡티, 진정, 각질"
크림스킨+미스트 펌프 세트,"보습, 수분, 건성, 주름, 쫀쫀, 트러블, 각질, 피지, 진정"
베스트셀러 컬렉션,"트러블, 촉촉, 주름"
윤조에센스&자음생크림 2종 세트,"건성, 트러블, 주름, 진정, 수분, 촉촉, 탄력, 모공, 각질"
시그니처 리부팅 크림 75ml,"탄력, 주름, 건성, 쫀쫀, 트러블, 수분, 보습, 지성, 진정, 기미, 모공, 예민, 각질"
시그니처 리부팅 에멀전 100ml,"주름, 보습, 트러블, 탄력, 수분, 건성, 쫀쫀, 기미, 피지"
시그니처 리부팅 엘릭서 앰플 48 ml,"건성, 수분, 트러블, 보습, 탄력, 주름, 피지, 지성"
유스 래디언스 비타티놀 세럼,"주름, 모공, 기미, 건성, 쫀쫀, 잡티, 산뜻"
순정 판텐소사이드 마스크 25ml 10매,"진정, 수분, 여드름, 트러블, 보습"
순정 판텐소사이드 마스크 25ml 5매,"수분, 진정, 보습, 여드름, 트러블, 주름, 건성, 각질"
0.2 테라피 에어 마스크 마데카소사이드 5매,"진정, 수분, 트러블, 주름, 보습, 건성, 여드름"
0.2 테라피 에어 마스크 알로에 5매,"진정, 수분, 트러블, 주름, 보습, 건성"
0.2 테라피 에어 마스크 그린티 5매,"진정, 트러블, 수분, 건성, 주름, 보습, 촉촉, 여드름"
0.2 테라피 에어 마스크 콜라겐 5매,"탄력, 수분, 주름, 보습, 진정, 트러블, 건성, 여드름, 촉촉"
0.2 테라피 에어 마스크 히알루론산 5매,"수분, 보습, 진정, 주름, 트러블, 촉촉, 건성, 탄력, 여드름"
베이킹 파우더 모공 클렌징폼 160g*2,"모공, 트러블, 피지, 진정, 지성, 여드름, 촉촉"
크림스킨 더블 구성,"건성, 수분, 보습, 트러블, 지성, 촉촉, 탄력, 진정, 쫀쫀, 여드름, 각질, 예민, 주름"
세라펩타이드 크림스킨 170ml,"보습, 건성, 수분, 트러블, 탄력, 진정, 지성, 촉촉, 주름, 각질, 쫀쫀, 예민, 여드름"
세라마이드 아토 로션 세트,"보습, 건성, 트러블, 수분, 지성"
인듀싱 에센스 80 ml,"주름, 보습, 탄력, 쫀쫀, 수분, 트러블, 건성, 기미, 모공, 잡티"
하이드로 글로우 트리트먼트 에센스 150ml,"보습, 수분, 탄력, 트러블, 건성, 주름, 촉촉, 진정, 각질, 지성, 쫀쫀, 모공, 산뜻"
세라베리어 수딩 앰플 30ml,"수분, 보습, 트러블, 진정, 건성, 여드름, 지성, 탄력, 각질, 촉촉, 주름, 예민, 쫀쫀"
한란 인리치드 에센스 50ml,"쫀쫀, 수분, 건성, 주름, 보습, 트러블"
유스 래디언스 파워 모이스처라이징 크림 50ml,"탄력, 보습, 수분, 진정, 주름, 건성, 쫀쫀, 트러블, 지성, 촉촉, 각질, 예민, 모공, 여드름"
운데칸 애드온세럼 30 ml,"트러블, 수분, 건성, 진정, 모공, 촉촉"
데칸알 애드온세럼 30 ml,"주름, 보습, 수분, 탄력, 건성, 트러블, 예민, 진정, 촉촉, 쫀쫀"
베이킹 파우더 모공 클렌징폼 300g,"모공, 각질, 쫀쫀, 피지, 수분, 건성"
워터뱅크 HA 클렌징폼 더블구성,"쫀쫀, 건성, 모공, 트러블"
퍼펙트 오일 투 폼 클렌저 200ml,"건성, 트러블, 수분, 모공, 각질, 피지, 지성, 보습, 쫀쫀, 촉촉, 진정, 주름, 예민"
에이지컨트롤 파워리프트 2종,"탄력, 보습, 주름, 트러블, 건성, 수분"
유스 래디언스 비타티놀 세럼 15g*2,"주름, 탄력, 트러블, 모공, 기미, 수분, 잡티, 쫀쫀, 건성, 보습, 여드름, 촉촉, 지성, 예민, 진정, 피지"
유스 래디언스 비타티놀 세럼 15g,"주름, 모공, 탄력, 트러블, 보습, 수분, 쫀쫀, 잡티, 촉촉, 건성, 기미, 각질, 피지, 지성, 예민"
수분가득 콜라겐 딥크림 75ml,"수분, 탄력, 보습, 건성, 주름"
스킨유 이노센트 딥 머스크 크림스크럽 120g,"각질, 수분, 트러블, 보습, 건성"
선 메이트 레포츠 프로 워터프루프SPF50+/PA++++ 70ml,"트러블, 건성, 주름"
라이트닝 L 인핸서 20ml,"기미, 잡티, 수분, 트러블, 보습, 주름, 탄력, 건성, 진정, 여드름, 쫀쫀, 피지, 예민, 촉촉"
베리어 B 에센스 라이트 35ml,"보습, 트러블, 수분, 주름, 탄력"
스킨필 S 에센스 리치 35ml,"각질, 모공, 수분, 진정, 트러블, 건성, 주름"
더블콜라겐 어성초 속눈썹 영양제,"수분, 보습"
프로바이오틱스 세라마이드 2종,"건성, 트러블, 수분, 보습, 촉촉, 주름"
라그랑 천연해면 세안용 라지+라그랑 파우더워시 세트 상세페이지참조,"각질, 모공, 피지, 건성, 트러블, 지성, 수분, 예민, 진정, 쫀쫀"
아토베리어365 버블클렌저 150ml,"트러블, 여드름, 건성, 쫀쫀, 진정, 보습, 수분, 각질, 예민, 지성, 피지, 촉촉"
리젠 데칸알 리프팅 크림 50ml,"주름, 탄력, 트러블, 보습, 쫀쫀, 수분, 모공, 예민, 촉촉, 건성, 각질"
스템Ⅲ 시그니처 3종 세트,"트러블, 보습, 건성, 수분, 주름, 탄력, 촉촉, 모공, 각질, 진정, 쫀쫀, 지성, 예민, 여드름"
마이크로 벨벳 클렌징 폼 150 ml,"건성, 쫀쫀, 보습, 탄력, 수분, 피지, 트러블, 잡티, 예민, 모공"
딥 루티드 스칼프토닉  150ml,"각질, 트러블, 진정, 수분, 지성, 탄력, 예민, 모공, 여드름, 건성, 피지, 보습"
빈티지 싱글 익스트렉트 앰플 30ml,"보습, 수분, 건성, 탄력, 트러블, 쫀쫀, 주름, 지성, 각질, 피지, 진정, 예민, 촉촉, 잡티, 여드름, 모공"
뉴트리 엘릭서 밤 28ml,"보습, 수분, 건성, 각질, 모공, 주름, 촉촉, 트러블, 기미, 여드름"
피토알렉신 수분 진정 앰플 50ml,"진정, 수분, 보습, 트러블, 건성, 여드름, 지성, 쫀쫀, 각질, 예민, 피지, 주름, 탄력, 잡티, 촉촉, 모공, 산뜻"
라인에이징 코렉터 30ml,"탄력, 주름, 쫀쫀, 건성, 수분, 모공, 보습, 트러블"
타임 레스폰스 앰플 디스커버리 세트,"탄력, 주름, 보습, 쫀쫀, 건성, 수분, 트러블, 각질, 모공, 촉촉, 지성, 잡티, 기미, 진정, 여드름, 피지"
베블 바디밀크 1+1,"보습, 수분, 각질, 진정, 건성, 쫀쫀, 트러블, 탄력, 피지"
베블 페이셜 크림 1+1,보습
빈티지 싱글 익스트렉트 에센스 240ml,"트러블, 보습, 지성, 탄력, 촉촉, 건성, 수분, 진정, 모공, 각질"
타임브레이스 아이크림 25ml,"주름, 쫀쫀, 트러블, 탄력"
랑팔라투르 주방세제 리퀴드베셀 250ml / 1L,"트러블, 촉촉"
베블 바디밀크+페이셜크림,"보습, 트러블, 수분, 건성"
베블 페이셜 크림,"보습, 수분, 탄력, 진정, 쫀쫀, 트러블"
씨드 앤 스프라우트 에너지 마스크_로터스 세트 30매,"수분, 진정, 트러블, 보습, 건성, 탄력, 모공, 주름, 여드름, 각질, 지성, 쫀쫀, 예민, 기미, 촉촉"
랑팔라투르 마르세유 비누 벌트 150g / 300g / 600g,"건성, 보습, 쫀쫀"
로맨틱 스킨 리파이너 130ml,"진정, 트러블, 보습, 수분, 지성, 여드름, 주름"
에이지 어웨이 콜라제닉 3종,"탄력, 건성, 수분, 보습, 쫀쫀, 트러블, 주름, 지성, 촉촉, 각질, 진정, 예민"
유스 레볼루션 래디언스 컨센트레이터 30ml,"탄력, 지성, 모공, 수분, 트러블, 기미, 보습, 잡티, 진정"
옴므 스페셜 기획세트 2종,"트러블, 보습, 수분, 건성, 주름, 모공, 지성, 여드름, 탄력"
타임 레스폰스 스킨 리저브 젤 크림 50ml,"모공, 쫀쫀, 건성, 지성, 트러블, 보습, 수분"
빈티지 싱글 익스트렉트 에센스 150ml,"수분, 트러블, 진정, 건성, 탄력, 보습, 각질, 주름, 모공, 여드름, 쫀쫀, 촉촉, 지성, 잡티, 예민, 피지, 기미"
씨드 앤 스프라우트 에너지 마스크_로터스 5매 20ml*5매,"수분, 트러블, 진정, 보습, 건성, 지성, 쫀쫀, 각질, 탄력, 여드름, 촉촉, 피지, 모공, 주름"
타임 레스폰스 스킨 리저브 세럼 30ml,"주름, 건성, 탄력, 쫀쫀, 트러블, 촉촉, 보습"
모이스처 클렌징 티슈 300g,"트러블, 건성, 보습, 수분, 지성, 피지"
