상품명,키워드
플라워 앰플 마스크팩 1매,"보습, 수분, 진정, 트러블, 건성, 탄력, 주름, 지성, 모공, 각질, 잡티, 촉촉, 쫀쫀, 여드름, 피지, 예민, 산뜻"
바이오 컨디셔닝 에센스 168ml,"트러블, 수분, 보습, 건성, 진정, 촉촉, 각질, 주름, 탄력, 지성, 기미, 잡티, 여드름, 모공, 예민"
자음생아이크림 단품세트 20ml,"주름, 트러블, 쫀쫀, 탄력, 기미, 보습, 수분"
자음생 데일리 루틴,"탄력, 건성, 트러블, 수분, 주름, 쫀쫀"
PDRN 카페인 샷 대용량 기획세트 50ml,"탄력, 주름, 쫀쫀, 건성, 모공, 트러블, 보습, 수분, 지성, 진정, 잡티, 촉촉, 각질"
그린티 히알루론산 스킨 170ml,"보습, 수분, 건성, 트러블, 주름, 지성"
레티놀 시카 흔적 앰플 30ml,"트러블, 모공, 여드름, 주름, 잡티, 각질, 진정, 탄력, 기미, 수분, 건성, 보습, 피지, 쫀쫀, 촉촉, 산뜻"
에이시카 365 흔적 진정 세럼 25ml,"트러블, 진정, 여드름, 보습, 수분, 잡티"
UV 프로텍터 액티브 선 밤 SPF 50+ / PA++++ 10g,"수분, 기미, 트러블, 보습, 주름, 진정, 지성, 건성, 촉촉, 잡티, 모공, 탄력, 여드름"
UV 쉴드 선 스틱 SPF50+/PA++++ 20g,"건성, 트러블, 기미, 잡티, 지성, 예민, 산뜻, 진정"
하이드로 리플렉팅 토너 170ml,"수분, 트러블, 보습"
송담 탄력 스킨 150ml,"탄력, 건성, 수분, 주름, 보습, 지성, 쫀쫀, 트러블"
페이셜 마일드 필링 250ml,"각질, 트러블, 피지, 건성, 수분, 모공, 여드름, 보습, 지성, 진정, 촉촉"
맨 바이오 안티에이징 2종 세트,"보습, 트러블, 수분, 주름, 건성, 탄력, 지성, 여드름, 촉촉, 진정, 피지, 모공, 쫀쫀"
슈퍼바이탈 크림 리치 스페셜 기프트 50ml,"건성, 탄력, 보습, 주름, 쫀쫀, 수분, 트러블, 모공, 촉촉, 진정, 지성, 여드름, 피지, 각질, 기미, 잡티, 예민"
하이드로 리플렉팅 2종 세트,"수분, 트러블, 건성, 진정, 모공, 보습, 지성, 주름, 촉촉, 여드름, 탄력, 산뜻"
스템3 앰플 50ml,"주름, 탄력, 트러블, 수분, 건성, 보습, 진정, 쫀쫀, 모공, 지성, 여드름, 각질, 잡티, 기미"
오가니언스 BR 컴포트 아미노 리치 폼 150ml,"수분, 쫀쫀, 건성, 트러블, 진정, 탄력, 모공, 각질, 보습, 여드름, 피지, 지성, 촉촉"
그린티 히알루론산 로션 170ml,"수분, 트러블, 보습, 여드름, 건성, 진정"
나의 첫 설화수,"건성, 탄력, 주름, 트러블, 촉촉, 수분, 보습, 각질, 모공"
순행클렌징폼 200ml,"트러블, 건성, 각질, 수분, 피지, 보습, 탄력, 여드름, 지성, 진정, 촉촉, 예민"
페이셜 마일드 필링 150ml,"각질, 트러블, 건성, 수분, 지성, 피지, 모공, 보습, 여드름, 진정, 촉촉, 쫀쫀"
레티놀 슈퍼바운스 세럼 30ml,"탄력, 주름, 트러블, 보습, 쫀쫀, 각질, 촉촉"
송담 탄력 에멀젼 125ml,"탄력, 보습, 수분, 주름, 건성"
마이크로 딥 클렌징 폼 150ml,"트러블, 건성, 모공, 쫀쫀, 수분, 피지, 여드름, 보습, 지성, 각질, 탄력, 주름"
더마UV365 무기자차 선크림 or 톤업 선크림 SPF 50+/ PA++++ 40ml,"여드름, 수분, 트러블, 건성, 진정, 보습, 예민"
바쿠치올 레티놀 크림 60ml,"주름, 탄력, 트러블, 보습, 모공, 수분, 건성, 쫀쫀, 각질, 진정, 여드름, 지성, 촉촉, 피지, 예민, 기미, 산뜻"
아토베리어365 하이드로 에센스 200ml,"트러블, 수분, 건성, 보습, 진정, 여드름, 지성, 예민, 쫀쫀, 촉촉, 탄력, 산뜻, 모공"
어린쑥 수분진정 2종 세트,"진정, 수분, 트러블, 보습, 건성, 여드름, 지성, 촉촉, 각질, 피지, 모공, 산뜻"
블랙티 유스 인핸싱 앰플 마스크 28ml,"보습, 주름, 진정, 수분, 탄력, 쫀쫀, 트러블"
리페어링 세라캡슐 UV프로텍터 SPF50+/PA++++ 40ml,"트러블, 수분, 건성, 보습, 촉촉, 지성, 기미, 여드름, 모공, 주름, 진정, 쫀쫀, 탄력, 예민, 잡티, 피지, 각질"
부들밤x크렘드마롱 깔끔각질 모공팩 100ml,"각질, 모공, 피지, 트러블, 건성, 수분, 보습, 예민, 쫀쫀, 촉촉, 지성, 기미, 진정, 탄력"
블루 캐모마일 크림 60ml,"진정, 수분, 트러블, 건성, 보습, 여드름, 주름, 지성, 탄력, 촉촉, 각질, 예민, 쫀쫀, 모공"
프레쉬 모이스춰 클렌징폼 120g,"트러블, 건성, 쫀쫀, 수분, 피지, 여드름, 지성, 보습, 모공, 산뜻, 촉촉, 탄력, 진정"
세라마이드 아토 수딩 젤 175ml,"수분, 진정, 보습, 트러블, 건성, 지성, 여드름, 각질, 모공"
어린쑥 수분진정 토너 150ml,"진정, 트러블, 수분, 보습, 건성, 지성, 여드름, 피지, 모공, 각질, 탄력"
워터뱅크 블루 히알루로닉 크림 중·건성용 50ml,"수분, 보습, 건성, 트러블, 지성, 진정, 쫀쫀, 각질, 촉촉, 탄력, 주름, 모공, 여드름, 예민, 산뜻, 피지"
두보레 비누 라인 4입,"트러블, 보습, 탄력, 수분, 건성, 각질, 지성, 모공, 여드름, 주름"
본윤선크림 단품세트 SPF50+/PA++++ 50ml,"트러블, 주름, 건성, 쫀쫀, 수분, 지성, 모공"
인텐시브 롱래스팅 선스크린 EX SPF50+/PA++++ 60ml,"건성, 지성, 수분, 트러블, 기미, 쫀쫀"
비타 C 그린티 엔자임 잡티 토닝 세럼 30ml,"잡티, 각질, 기미, 보습, 트러블, 수분, 건성, 모공, 지성, 피지, 쫀쫀, 촉촉"
바하 버블 필링 클렌저 200ml,"각질, 트러블, 여드름, 진정, 피지, 건성, 수분, 모공, 지성, 쫀쫀, 보습, 탄력, 예민"
자음유액 125ml,"건성, 보습, 트러블, 탄력, 수분, 주름, 쫀쫀, 진정, 지성, 각질, 촉촉, 여드름"
마일드 클렌징폼 200g,"모공, 피지, 보습, 트러블, 각질, 건성, 여드름, 지성, 수분, 진정, 쫀쫀, 예민, 기미, 탄력"
히아루로닉 크림 100ml,"수분, 트러블, 건성, 지성, 보습, 여드름, 진정, 촉촉"
워터 슬리핑 마스크 EX 70ml,"수분, 트러블, 건성, 보습, 진정, 각질, 지성, 여드름, 촉촉, 쫀쫀, 탄력, 주름"
립 앤 아이 리무버 250ml,"트러블, 수분, 보습, 건성"
